Уникальный идентификатор канала,Название канала,Описание канала
-1001121000042,All you need is ЛАФ,Описание отсутствует
-1001881837502,C-Accel Community,Описание отсутствует
-1001602620290,Mikhail Tokovinin,Описание отсутствует
-1001261884097,MyGap,Описание отсутствует
-1001466269137,ETrade,Описание отсутствует
-1001060302681,Лентач,Описание отсутствует
-1001850398973,"Кипр — обмен денег, карты, крипта 🇨🇾 Чат TravelAsk",Описание отсутствует
-1001136040934,Serbia In My Mind,Описание отсутствует
-1002248830439,Igor_Shimko,Описание отсутствует
-1001160069402,Чёрный Треугольник,Описание отсутствует
-1001384836333,Профирум,Описание отсутствует
-1001515365910,Россияне в Казахстане😊,Описание отсутствует
-1001375055530,Coin Bureau Insider,Описание отсутствует
-1001732057875,Serbia Exchange Rates,Описание отсутствует
-1001547286951,SABA - Системные и бизнес-аналитики,Описание отсутствует
-1001967622894,zkSwap Finance Official,Описание отсутствует
-1001758034592,Книжный куб,Описание отсутствует
-1001501320515,igotosochi,Описание отсутствует
-1001309043988,Whale Alert,Описание отсутствует
-1001178264087,Шри-Ланка 🏝️ Главный чат,Описание отсутствует
-1001497637880,Дерзкий спекулянт,Описание отсутствует
-1001120760194,Aave Fam (Verified)| Official Announcements,Описание отсутствует
-1001434266029,Простые числа: политэкономия онлайн,Описание отсутствует
-1001340730202,Somm Finance,Описание отсутствует
-1001519758780,Rudy vs Web3 Chat,Описание отсутствует
-1002184640212,Аренда авто Белград | Нови-Сад,Описание отсутствует
-1001529589156,Senior Java Developer,Описание отсутствует
-1001558186588,Senior Python Developer,Описание отсутствует
-1001477548223,Чат профсоюза работников IT,Описание отсутствует
-1002238739059,DejenDog 💩 Chat 1,Описание отсутствует
-1001091643079,Канал Игоря Зуевича,Описание отсутствует
-1001176453176,IF Crypto,Описание отсутствует
-1001080755538,Работа для Системных и Бизнес-аналитиков,Описание отсутствует
-1001680329837,Айтишники в Казахстане,Описание отсутствует
-1001766480152,Кирилл Богомолов,Описание отсутствует
-1001137503644,Евгений Черных и 401🍋,Описание отсутствует
-1001573313922,🚀ВЛАД | COPYTRADER,Описание отсутствует
-1001180245715,Крипто твиты,Описание отсутствует
-1001608335949,Инвестиции в будущее,Описание отсутствует
-1001521744745,YES NO MAD | Help freelancers IT & Digital,Описание отсутствует
-1001395942336,IF News,Описание отсутствует
-1001094475272,Analyst Days,Описание отсутствует
-1001788647101,"Relocate -релокация, удалёнка, вакансии и работа",Описание отсутствует
-1002060530291,АМБ,Описание отсутствует
-1001702888054,Блокчейн Hunter | Вакансии в крипто-индустрии,Описание отсутствует
-1002215076852,Crypto Jobs - Web3 вакансии,Описание отсутствует
-1001751829589,GOLD,Описание отсутствует
-1002035231034,Stable Jack Announcement,Описание отсутствует
-1001497191707,Земельный вопрос,Описание отсутствует
-1001567673685,Zaikin_torgi,Описание отсутствует
-1001549214739,Юридические лица / ИП / ООО — Армения 🇦🇲 Чат TravelAsk,Описание отсутствует
-1001871276061,Вместе – Батуми,Описание отсутствует
-1001943406541,Библиотека Системного Аналитика,Описание отсутствует
-1001380025758,MediaMetriqa - Crypto,Описание отсутствует
-1001875948309,TON DeFi,Описание отсутствует
-1001577433533,"Короче, капитан",Описание отсутствует
-1001452611527,GMX Announcements,Описание отсутствует
-1001630725045,Цифровые кочевники | Digital Nomads,Описание отсутствует
-1001182120836,AliExpress Hacker,Описание отсутствует
-1001528089454,Analyst IT,Описание отсутствует
-1001075101206,РынкиДеньгиВласть | РДВ,Описание отсутствует
-1001507745446,Криптомир с Оксаной Мащенко,Описание отсутствует
-1001236781810,Бизнес-анализ и Системный анализ,Описание отсутствует
-1001955744932,киновойс,Описание отсутствует
-1001344462212,Чтобы не выгорать,Описание отсутствует
-1001835568934,ЧЕРНЫЙ СПИСОК | КРИПТА,Описание отсутствует
-1001293298872,Frank Media,Описание отсутствует
-1001430200876,karpov.courses,Описание отсутствует
-1001579620324,TON Community RUS,Описание отсутствует
-1001307005356,IT Jobs abroad,Описание отсутствует
-1001875211582,Релокация&Удаленка (Все страны),Описание отсутствует
-1001453947199,Научный трейдинг (Bad Quant OSA),Описание отсутствует
-1001798491824,Нескучный Белград,Описание отсутствует
-1001453563350,MOEX - Московская биржа,Описание отсутствует
-1001158870299,Anna Sea IT,Описание отсутствует
-1001499218577,MOEX-info,Описание отсутствует
-1001414909052,Selectel Newsfeed,Описание отсутствует
-1001648030177,Деньги из бетона — Недвижимость РФ,Описание отсутствует
-1002124093801,TriptiX Belgrade,Описание отсутствует
-1001315676483,Social Engineering,Описание отсутствует
-1001020195196,Roskomsvoboda,Описание отсутствует
-1001524376789,Rudy vs Web3,Описание отсутствует
-1001380524958,Хулиномика,Описание отсутствует
-1001662798671,🇱🇰 Аругам Бэй ☀️,Описание отсутствует
-1001462487554,Business | System analyst,Описание отсутствует
-1001207130522,Product Radar — лучшие стартапы России,Описание отсутствует
-1001799950395,Tonstarter Chat EN,Описание отсутствует
-1001911093074,Как стать бизнес-аналитиком,Описание отсутствует
-1001484202875,"Образование по BA, SA, Архитектуре",Описание отсутствует
-1002243493155,DejenDog | Alpha Community,Описание отсутствует
-1001370974439,PRO Paradoxe,Описание отсутствует
-1001110143831,Бизнес-анализ & IT,Описание отсутствует
-1001232469282,Китай - Николай Вавилов,Описание отсутствует
-1001767925637,Релокейти 🌏 Чат о релокации,Описание отсутствует
-1001292695194,cp0x.com,Описание отсутствует
-1001283113006,Data Phoenix,Описание отсутствует
-1001485724714,Екатерина Шульман,Описание отсутствует
-1001637113601,Деплой,Описание отсутствует
-1001822373731,Прибыльная недвижимость | Максим Повтарев,Описание отсутствует
-1001411588979,IF Bonds — Облигации РФ,Описание отсутствует
-1001215376740,Диалектик,Описание отсутствует
-1001635980019,TON Punks,Описание отсутствует
-1001480181440,IF Stocks,Описание отсутствует
-1002115873879,Жизнь на проценты,Описание отсутствует
-1001671491418,Nomis | Onchain Reputation Protocol,Описание отсутствует
-1002417177935,Blum Memepad,Описание отсутствует
-1001301455979,Linux для чайника,Описание отсутствует
-1002039438207,Blum: All Crypto – One App,Описание отсутствует
-1001377968514,FinProfit.club,Описание отсутствует
-1002036153103,Российские облигации,Описание отсутствует
-1001589484820,GO_TO_IT_jobs,Описание отсутствует
-1001736900449,Новости Тонкипера,Описание отсутствует
-1002031934100,BerlenkoCrypto Comments,Описание отсутствует
-1001300793726,"Безымянная 4, Живое общение",Описание отсутствует
-1001952978995,Generative AI в работе аналитика и проектировщика (ИИ),Описание отсутствует
-1001746869973,Вакансии.TravelAsk,Описание отсутствует
-1001380695756,Darth Traders — Слушай Евгена!,Описание отсутствует
-1001508305487,Военные адвокаты,Описание отсутствует
-1001680634724,Банк России,Описание отсутствует
-1001683419563,Системный сдвиг,Описание отсутствует
-1001133958760,Без aspera,Описание отсутствует
-1001412167674,Events on Business/Systems Analysis/Design,Описание отсутствует
-1002140657533,Екатерина Дунцова,Описание отсутствует
-1002146320887,Валентин Заботин | Аналитик маминой подруги,Описание отсутствует
-1001306772661,PRO анализ в ИТ,Описание отсутствует
-1001548775009,Tradoor.io News - Trade crypto like a legend,Описание отсутствует
-1002483451009,Чат поддержки по страховкам DDOR,Описание отсутствует
-1001969277594,Storm Trade | News ⚡️,Описание отсутствует
-1001660305160,Storm Trade | Новости ⚡️,Описание отсутствует
-1001593726392,Юрист Дмитрий Алëхин | Под ключ,Описание отсутствует
-1001151555540,Наташа Косинова. Варю айти СУП,Описание отсутствует
-1001113565412,CryptoInside,Описание отсутствует
-1001570720605,"УК ""Гестор"". Новости.",Описание отсутствует
-1001207986781,BA/SA - Bad Company!,Описание отсутствует
-1001309285353,[YT] UnderMind,Описание отсутствует
-1001620895117,Dollet Chat,Описание отсутствует
-1001644171640,Смирнов Дмитрий | Опыт инвестора,Описание отсутствует
-1001499290854,Екатерина Костевич,Описание отсутствует
-1001881264810,Вместе – Таиланд,Описание отсутствует
-1001887365954,Вакансии за рубежом,Описание отсутствует
-1001344823821,Заметки Аналитика | IT,Описание отсутствует
-1001339659024,Art of Business Analysis,Описание отсутствует
-1001627813494,Совместный переезд Казахстан,Описание отсутствует
-1001428806140,x-management,Описание отсутствует
-1001203930507,BA / SA Materials,Описание отсутствует
-1001607100945,Манна небесная,Описание отсутствует
-1002134345817,@Whale memes,Описание отсутствует
-1001899821420,Trust Wallet Новости,Описание отсутствует
-1001446666131,Мультипликатор,Описание отсутствует
-1002117943255,BerlenkoCrypto,Описание отсутствует
-1001216571339,IDO research,Описание отсутствует
-1001648137205,"Пора | Вакансии, Удалёнка, IT",Описание отсутствует
-1002086767935,🤖 Датаист,Описание отсутствует
-1001732713411,Новости Кошелька,Описание отсутствует
-1001624773544,Wallet News,Описание отсутствует
-1002173900823,DOGS Community,Описание отсутствует
-1001251775798,Диджитализируй!,Описание отсутствует
-1001090548847,C-Accel,Описание отсутствует
-1001462643508,Old School Algo Chat (o-s-a.net),Описание отсутствует
-1001292630300,Минцифры России,Описание отсутствует
-1001272732233,Записная книжка аналитика,Описание отсутствует
-1001286236329,Утечки информации,Описание отсутствует
-1001673736460,Это считается,Описание отсутствует
-1001421140678,Run VPN Run,Описание отсутствует
-1001129020864,IT POLICE,Описание отсутствует
-1002007141958,Notcoin Community,Описание отсутствует
-1001165052727,Микросервисы / распределенные системы,Описание отсутствует
-1001769802203,Russian Association of Software Architects,Описание отсутствует
-1002026859603,Music | Обои | Видео🔥,Описание отсутствует
-1002448339667,Memhash Community,Описание отсутствует
-1001295085118,TreshFilms | Фильмы и сериалы,Описание отсутствует
-1001876860459,Degen Research,Описание отсутствует
-1001275381155,Crypto Lamer©,Описание отсутствует
-1001151561555,Профсоюз работников IT,Описание отсутствует
-1001685875086,Slow Travel | путешествия по Балканам,Описание отсутствует
-1001619080966,Релокация&Удаленка (Все страны),Описание отсутствует
-1001807945601,Денис Бесков: умные мысли и несколько своих,Описание отсутствует
-1001233907704,Находки в опенсорсе,Описание отсутствует
-1001361180590,StringConcat - разработка без боли и сожалений,Описание отсутствует
-1001972504644,Tonstakers RU,Описание отсутствует
-1001920211904,Communities,Описание отсутствует
-1001110752018,Архитектура ИТ-решений,Описание отсутствует
-1002584137246,Автоматизировал и забыл,Описание отсутствует
-1001795486352,sellnotbuy,Описание отсутствует
-1001638303259,Сербия Недвижимость,Описание отсутствует
-1001485127023,BA community,Описание отсутствует
-1001305853612,Селиховкин - не скучно о проектах,Описание отсутствует
-1001892990915,CragHack,Описание отсутствует
-1001672773836,Аренда Авто| Белград,Описание отсутствует
-1001351029634,Дудь,Описание отсутствует
-1001587234055,Эфирный (Nikita3),Описание отсутствует
-1001779576017,NextWay - анализ и проектирование в IT,Описание отсутствует
-1001665637871,Maxim Mikhaylevskiy,Описание отсутствует
-1001006503122,Du Rove's Channel,Описание отсутствует
-1001767555642,{ между скобок } анонсы 📣,Описание отсутствует
-1001352097951,Движение FIRE,Описание отсутствует
-1001368304681,Безымянная 4/1 секция,Описание отсутствует
-1001512524266,"НОВОСТИ. Ул. Безымянная, д. 4",Описание отсутствует
-1001788491947,Релокация просто,Описание отсутствует
-1001688180817,ВИЗАРАН БЕЛГРАД СЕРБИЯ. Viza Run Belgrade,Описание отсутствует
-1001672801228,ТС,Описание отсутствует
-1001809246926,SRI LANKA | Шри ланка 🏝| аренда жилья,Описание отсутствует
-1001556132596,DeDust.io – TON DEX,Описание отсутствует
-1001320613970,# pip install,Описание отсутствует
-1001504800723,КРИПТА | ЖЕЛЕЗНАЯ СТАВКА | БИЗНЕС,Описание отсутствует
-1002050980002,HashKey HSK,Описание отсутствует
-1001174646417,ЧД,Описание отсутствует
-1001958738416,GMX Technical Announcements,Описание отсутствует
-1001284832300,Высокая неопределенность,Описание отсутствует
-1001166732737,0x_unidentified,Описание отсутствует
-1001766142614,Переехали в Тайланд,Описание отсутствует
-1001625205612,PlantUML,Описание отсутствует
-1001389998058,Info Just2trade,Описание отсутствует
-1001107798335,Релокейти 🌏 Канал о релокации,Описание отсутствует
-1001431171996,Analyst Boost. Никита Харичкин,Описание отсутствует
-1002048268668,Аренда авто в Сербии/Белграде/ Прокат авто в Сербии/ Rent-A-Car in Serbia,Описание отсутствует
-1001508431038,Помощь Россиянам💙 Уральск,Описание отсутствует
-1001778174065,Карьера аналитика,Описание отсутствует
-1001872432962,Web3 разработчик,Описание отсутствует
-1001508092718,Системный подход,Описание отсутствует
-1002145475892,Аренда авто в Белграде 🇷🇸 Чат TravelAsk,Описание отсутствует
-1001368113039,Minter (Русский),Описание отсутствует
-1001162061405,Сетевые Свободы,Описание отсутствует
-1001469663288,ADVA Юрист-онлайн,Описание отсутствует
-1002205440365,X Empire Community,Описание отсутствует
-1001498235928,Python Lounge: работа и стажировки для программистов,Описание отсутствует
-1001890079566,Мысли Коноплёва | IT Management,Описание отсутствует
-1002202451448,VeDAO Media,Описание отсутствует
-1001517956170,BPMN-форум,Описание отсутствует
-1001214602935,Code Lib. Программирование.,Описание отсутствует
-1001450347618,Системный сервант,Описание отсутствует
-1002022165329,Разместим,Описание отсутствует
-1001076364438,SPb BA/SA: накапливая знания,Описание отсутствует
-1001616079653,Nomad Taxes | Налоги цифровых кочевников,Описание отсутствует
-1001754128049,Pro-Defi,Описание отсутствует
-1001803919071,Working notes,Описание отсутствует
-1001189986875,Путь аналитика. Analyst's journey,Описание отсутствует
-1002156733455,ТРАНСФЕР БЕЛГРАД СЕРБИЯ И АРЕНДА АВТО,Описание отсутствует
-1001766013492,Pearls by Gems,Описание отсутствует
-1001645552182,DIXY / DIGITAL XELP,Описание отсутствует
-1002133190748,"Визаран, трансферы - Белград, Нови Сад",Описание отсутствует
-1001565700863,Клуб (вне)системных аналитиков,Описание отсутствует
-1001740361444,QAZCHANGE,Описание отсутствует
-1001599218946,TON_Learn,Описание отсутствует
-1001381086262,Недвижимость и точка | Москва | Новостройки,Описание отсутствует
-1001849268099,Telegram Premium,Описание отсутствует
-1002378812822,Techno Capital,Описание отсутствует
-1002003858433,ex Vidaq,Описание отсутствует
-1001346400842,Tonstarter RU,Описание отсутствует
-1001639054833,Tonstarter,Описание отсутствует
-1001567117083,Алиэкспресс дома ✨🏠,Описание отсутствует
-1001803149966,Андрюнин.,Описание отсутствует
-1001563210883,IT на чемодане | IT-Комьюнити | Релокация,Описание отсутствует
-1001549778117,Криптовалюта глазами юриста,Описание отсутствует
-1001337788919,| NEWS world 🌏,Описание отсутствует
-1001653363629,Dollet,Описание отсутствует
-1001061855611,Coinspot: новости криптоэкономики,Описание отсутствует
-1002025322592,Notcoin Fam RU,Описание отсутствует
-1001406536078,"BuyTheDip | инвестиции в акции, облигации, недвижимость",Описание отсутствует
-1001600444063,TravelAsk — все чаты по странам,Описание отсутствует
-1002121912454,Готовлюсь к CBAP,Описание отсутствует
-1002088802075,👨‍💻 Dev-Life Balance,Описание отсутствует
-1001487762660,Megaton Finance Channel [Official],Описание отсутствует
-1001399818210,"Вакансии Hi, Rockits!",Описание отсутствует
-1001377701881,Нейрон,Описание отсутствует
-1001937917497,Egg Fight Club,Описание отсутствует
-1001565964466,"MyReloc - Гражданство, ИП ООО, счет, карты, ВНЖ в Испании, Венгрии, Черногории, Киргизии, Казахстане, Армении, Грузии, Турции уд",Описание отсутствует
-1001593007146,Crypto moon | финансы и блокчейн,Описание отсутствует
-1001763307351,Housing Sri-Lanka. Аренда недвижимости.,Описание отсутствует
-1001788106919,Войти в IT | Алексей Солонков,Описание отсутствует
-1001489384768,webKrafter,Описание отсутствует
-1001605763030,Crypto Jobs Association,Описание отсутствует
-1001716151057,Театр одного аналитика,Описание отсутствует
-1001525343091,Web3 Brand Building,Описание отсутствует
-1001322544201,Python etc,Описание отсутствует
-1001566566253,Семь красных линий,Описание отсутствует
-1001811017836,Scaleton University,Описание отсутствует
-1001378928406,Analyst Days EA,Описание отсутствует
-1001818121274,Swaprum,Описание отсутствует
-1001967812406,Swaprum,Описание отсутствует
-1001823178357,BaliMove - Жизнь на Бали,Описание отсутствует
-1001546129687,BE•CRYPTO,Описание отсутствует
-1001891504492,DatArt,Описание отсутствует
-1001071365669,Павел Чиков 🕊,Описание отсутствует
-1001753214409,Шри-Ланка — объявления TravelAsk,Описание отсутствует
-1001868522575,open bank notes,Описание отсутствует
-1001361374004,"ИТ-АС - ИТ в корпорациях (Архитектура и Стратегия, ИТ-менеджмент)",Описание отсутствует
-1001702064912,Евгений вещает (Upwork+Fiverr),Описание отсутствует
-1001354053965,Болталка аналитиков,Описание отсутствует
-1001525464393,Психотерапевт Сергей Еманов,Описание отсутствует
-1001626464375,САНКЦИЯМ.NET,Описание отсутствует
-1001506805526,Не пополняется ПИФ при открытии. Дебаг,Описание отсутствует
-1001678753751,🔥MAXULIN - ЗАРАБАТЫВАЙ В ИНТЕРНЕТЕ,Описание отсутствует
-1001645083772,Осенний и Первый вклады,Описание отсутствует
-1001737563008,Вклад Конструктор вернись,Описание отсутствует
-1001726781588,account Circuit Breaker,Описание отсутствует
-1001542601349,Нотификация при неуспешном открытии депозита,Описание отсутствует
-1001796906210,BSC Academy - SA 2022.1,Описание отсутствует
-1001142306150,ITI Capital,Описание отсутствует
-1001159358518,Школа аналитиков,Описание отсутствует
-1001397168230,Барахолка Москва и область - DigitalAdvertise.Market,Описание отсутствует
-1001668695067,Свадьба!,Описание отсутствует
-1001537263642,BSC Academy - SA 2021.2,Описание отсутствует
